q_a,label
gros ! your face is nasty,1
gros ! your face is nasty,1
guess what you should do . get a life. i don't even know you so why would you even start shit with me . ! seriously you must be a bit messed up in the head. pathetic.,1
haha lifeless cunt stop writing on my wall you shit faced slut,1
heey. how many other formsprings do you have . like 50 . damn. get a life.,1
hey everyone this is the girl that fakes ta,1
hey why dont you go kill yourself alot of ppl would be really happy :),1
hey your an ugly fucking bitch you think your sexy . haha you ain't shit besides an ugly bitch. beware of what . ill fucking put your shit on blast. fucking stupid ass cunt. fuck off stop hatein on peoples pages before i go off on youare yougly ass.,1
hi asslee asshole :d,1
hi you smelly rotten poo. you smell like pigs vomit ! did you just go to the toilet . i wondered what that smell was you missed the toilet and it fell on youare yougly clothes are you poor . you stink like hamster poo. i'd love to ram a metal pole up your ass.,1
i dont know you but you seem like a bitch,1
i hope your asswhole gets sniffed by aids,1
i like how everyone writes you just to insult you. seriously all your questions are dissing you ! hahah.,1
i never said that i'm 16 or that i'm sexy. dumbasss,1
i swear to fucking god bitch. i hate you so much. you think you can add people and just talk shit on there pages . haha na. yu must got us fucked up. im going to hunt your ass down and beat the shit out of youu with my own to hands. kbitchh .,1
i'm not a creepy stalker. just everyone fucking hates you so everyone knows what you fucking do. you remind me of harmony flashpink but uglier and alittle more pathetic. everyone knows you fake yourself and other girls and you want attention. dumbfuck.,1
i'm not fake (:r sorry.,1
if your going to be rude give smart ass answers; we will unfollow you. :],1
im a big fan of betty and you is uglier than her so fuck up bitch you ugly shit head,1
learn how to spell . learn how to tell apart a typo from a spelling error. and learn how to be a proper fake.,1
lmfao you are fucking creepy must have no friends nor life if you have to create muliple formsprings of yourself saying theyre fakes. quit thinking everyone wants to be you they copy you. no one would fake you. i'm sorry your such a pathetic poser.,1
no body likes yuuu !,1
no honestly your really immature :),1
nope. i actually have a life. *coughcough* unlike you the lonely pathetic ugly lowlife man/woman who's life events are: staying on formspring creating fakes and starting shit. seriously i'm not the bitch you are. end of story. kcoolbye.,1
obese,1
oh god not you again.,1
ohh look the girl who fakes herself....,1
ok bitch.. wanna get started on me . .. ok one faggot is an oveare yoused term that people try to use on me to get me to feel bad.. two.your nothing but alowlife bitch who gets the kicks out of starting shit with people don't comestarting shit on my formspring,1
okae then bitch you dont got any quick comebacks now do you you fucking fake ! ! ! /,1
slut leave betty alone cunt face,1
stay off of my formspring . i don't even know who you are..,1
stfu you hoe. you piece of shiit.,1
stop annoying betty btw. you are a really sad little girl/boy . you think ur all grown up now using big words . stupid child living a fake life behind a damn keyboard and a screen. how more pathetic can you be .,1
stop leaving stuff like fake on your own formsrping. dead give away dumbass. suck a cunt,1
stop making fakes of yourself. you are ugly as fuck. you're not actually 16 bitch. and you are deff not a cyrus. get a mother fucking life cunt.,1
sure but you must spamr http://w.formspring.me/ddox3r are http://w.formspring.me/juliex2r or we wont continue spamming your (:,1
u know you care that betty is way better looking than u,1
ugly piece of shit,1
ugly.,1
uhm you did right down there vvv. you're the 'dumbfuck'. stop starting shit with everyone kcoolbye.,1
ur face is nasty,1
what am i going to do . hahaha what am i going to do . haha what im going to do is get some bitchess to kick the living shit out of youare yougly fake wanna be bitch made ass.,1
who the fuck are you even .,1
why are you still alive .,1
why are you stupid,1
why did you fake yourself . that's lamee you know there is like a lot of hate groups on myspace of you .,1
why not . and all you have to say is nope. oh and leave people alone(: delete this you fucking fake :),1
wow you are a fucking fake. if you are tired of everyone talking shit on you formspring either stop talking shit to them first or delete the damn thing. gosh you are fucking retarded. i forgot how stupid people are these days and that would be you.,1
wow you are fucking stupid. you told a girl whoo had her info showing show your face anonymus and your comebacks fucking suck. fighting over the internet is like being in the special olympics even when you win you are still retarded.,1
y do you have a big nose seriously no girl have a big nose .,1
you are nasty. (:,1
you are stupid and ugly.,1
you dont even fucking have fakes stop the fucking bullshit and get a life jezuss. how old are you kid . lifeless bitch you need help.,1
you should die,1
you should listen to the song big weenie by eminem (: it describes you so much ! ! ! ! ! everyone feels this way towards you xd,1
you suck =],1
you sure as hell look like a dog. don't fucking call me 'hun'. got it.,1
you're fucking pathetic,1
you're one of the ugliest bitches i've ever fucking seen,1
you're really rude. what the heck is your problem .,1
you're the bitch :) fuck off.,1
your a fake. your a fake for calling the real hailey fake on her formspring. what a lame bitch :),1
your a fuckin ugly bitch you look like a man in the face :),1
your background stupid to,1
your come backs are fucking horrible you dumb bitch. what the fuck are you like fucking five . you are like. 'i know you are but what am i . ' yeahh. no. bitch get a fucking life.,1
your comebacks suck balls,1
your comebacks suck balls,1
your face is nastyy,1
your fucking ugly.,1
your mad ugly. true talk.,1
your not fucking pretty stop hating on grace and all these pretty girls your just jealous. omg,1
your probably the one faking kai ! huh ! fucking bitch !,1
your so fucking immature i'm sorry you have no friends so you have to be rude to everyone,1
your thing says your very sexy.. lololol hah ! lies ! ! :),1
youare yougly as fuuck ( : betty is 10000% prettier than you so stopp being a bitch.,1
youare yougly,1
youre ugly (:,1
andrew once again stop talking to my friends. nobody likes you. you think your hot shit and thats whats annoying. bye failed rapist :),1
asshole,1
aw see even nico does nott want too go neaare you. i like that you try and typeall ghetto. you dont fucking scare me you bitch. ill fucking kill you if we faught. you'd probably bring your ghetto friends bahahaha. who would that be . bella and kendall . pff,1
aww you'll have some beat my ass . your not badass enough to do it yourself . exactly what imeant by pussyss<33333,1
vaginaaa .,1
not really why don't we just have sex . :d hahahaha,1
dont squirm motha fucka ! its just a syringe. in my spare time i skin these niggers and hit up the nigga nico to binge ! aha what up nigga zure !,1
dudde ima fuuck you til you bleed:),1
dude you are such a fucken fagget ahahaha,1
ew fuck no shes ugly as fucck.,1
ew i wuld never be jelous of ur life. coke yup thats a drug to but you still seem to handle with it a lot. no one gives a flying fuck about ur life and leave andrew the fuck alone bc you only hate him for the firey cunt,1
ew vvv,1
exactly. ur not hard get the fuck oveare yourself,1
frances seriously stop trying to make people feel bad foare you ugly bitch.,1
fuck no im not jealous of the ugly ass freak.,1
haaha cutee. yourr callingg mee ahh pussy when your bitchass wont leave a name right . you wanna get down im telling you im down. one on one. letss goo ( : fake bitch'<333,1
haha i knew youu would [: andd umm this kids a creep worse than you ! bahahaha vv woww yourr retarded lol [[;0,1
haha keep saying shit ill kill you,1
i do know you on a personal level. bitch.,1
i do support you i just wish youd be dating someone actually cute.. not just dating her for her big ass.,1
i dont givafuck. ur friendless previously stated in one of my other comments. except for firey bitch,1
i guarantee you guys wont be going out by the end of summer..,1
i hate ur fucking guts. you lindsey . grossest thing ive ever seen,1
i have my shit straight she wears like the same t-shirts.. her little pink and white stripped shirt or the plaid blue and red or pink shirt or whatever and maybe some random ones.. with jeans or shorts and vans. owned.,1
i hope you know i hate you. frances is one of my best friends ! ass hole !,1
ill fight you bitch,1
im not jewish im catholic so suck a dick,1
im not the one who said sext me but i was the one joking about the inappropriate messages. who do you think i am . :),1
lets see it then . ( : i was born in th ghetto si wtfuhh you know about tht cuhh . ahaha not a damn thing ! get on my level trickk. show a name catchh ahh fade lil homiee. no you know what dont stay away from me come find me bxtch ;d<33,1
lindseys one of the coolest chicks at poly so stop hating. shes more mature than you'll ever be. i've seen her fight i dare you to fight her.,1
no it's too fun,1
no you wont.,1
no. i hate taylor she used to b firey until she dyed her hair,1
not telling. you will have to just find out on your own. it probably won't be too hard though.,1
oh frances hunny dont try and talk all ghetto your white ass doesnt fucking scare me i will break you in fucking half.,1
you're very annoying,1
player !,1
are you gay,1
say it to my face trick ass nigga i will fxckin murdeare you i aint tryna make no body feel bad so you can hush that you got something to say then please step up show a namee fuckinn bitch. whuss up . !,1
too late i hate you,1
hehe i know people are stupid like you ...and i knew it was you ;))),1
whatever. im gunna leave before you guys cry get yourselves hurt i mean your begging me to leave bye pussys ! ! ! ! ! ! ! ! ! ! ! ! !,1
whore !,1
yeah go ahead and play victim i do know you nico. thats how i know your a player.,1
you and frances gross me out nastiest couple ive ever freakin seen. your way out of her league like no joke.,1
your a fagg,1
your my bitch and ill kill you nigga,1
your so gay haha,1
your still gay and a bitch haha,1
your the one talkin shit back.. fuckstick . i mean seriously how 5th grade can you get .,1
i killed a man.,1
adolf hitler was a one testicled vegetarian. what did you do with his other testicle .,1
after how many kids would you get your tubes tied/// guys: a vasectomy . (random),1
are you afraid of clowns .,1
are you an ass . i am idgaf :d r,1
choose: be cross-eyed person or be a cripple .,1
do you fall for internet advertisements . :,1
do you know what dog treats taste like .,1
yes sure. why would you spam that . do you not have a bf .,1
fucken guys flirt with every bitch on here lol girls too,1
have you had unprotected sex . (too much . delete it) i have :),1
how many pairs of underwear do you own . :,1
i can be your sex sex toy i i can be your sex sex toy i can be your mallibu barbie i can play play for you baby when you get lonely i said i can be your hannah montana i can make you move in ways you cant imagine.,1
if you could punch one celebrity without any repercussions who would it be .,1
if you found out someone was somehow pregnant by you(for men) oare you were somehow pregnant(for women) how would you react .,1
im in _______ bitch ! ! ! (your city lol),1
is it cool to be dumb these days . if so i don't like the trend.,1
kaydoll is bettaa than rhubinathy cuss she will suck my dick and the othe fat hoe wont and i luv it my sluts,1
please stop harassing me on my formspring :(,1
r do you think their parents know they are stalkers .,1
smile4mex is trailer trash. a racist fat cow. a bimbo fucking slut. and worthless as hell. all she's good for is someone using he body for sex and dumping her on the street when they're done using her ;),1
stop asking yourself questions,1
what accent bothers you .,1
what do you think about your parents who smoke pot around their children .,1
you have ur nipples pierced. ha,1
what is the most needed feeling if life .,1
what's the worst thing that a friend did to you .,1
when do your boobies make a public appearance .,1
who are the 3 most overrated musicians .,1
whose betaa w.formspring.me/kaydollbitchh or w.formspring.me/rubinathy15,1
why doy ou think we are greedy . is this by nature . or do we learn it .,1
whyy dose rubinathy15 ask stoopid questions . erase the dum betch,1
tell him you wanna get sex with him ;),1
lmao you so dumb ! one tv show and you said a whole tv channel... lol. anywho how are you mr. ching . :-)<br>,1
809 9501 <----alexis's phone number ima post it on myspace !,1
well i guess i love youu too whore(:,1
are you a lesbian .,1
are you ahh virqin pussy .,1
ayee that tootsyy girl iss fuckkin f a k e,1
baby you got some awesome titties !,1
bitchezz beloww me i would say ur name but yeww put it on anonymus pussy ass bitchez talkin shit on alexis she ckan show herr fuken boobs if she wants don't be jealous cuz yeww prolly don't gawt any it's ok tho and bitch wen she sayz write to her she,1
bitchh really yur saying shez fat now bitch yur probly the fat lonely ass flat chested bitch who ckant get none so stop hating and please bitch take yur shit off anonymus dumm ass bitch ! ! ! ! ! !,1
bitchhez damm wat the fuk is yur problemm . ! ! ferr real yeww guyz need to take it the fuk off anonymus and tell us who the fuk yeww are and wen and where yeww wana qet down i lovee yew alexis <33 yur nawt a bitch fuk them:)) aha pussyz -marissa,1
bj or hj .,1
boobies ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! i lahh uu2665 fuck bitches get money ! (: lolzz member .,1
damn baby - you are hot ! what a pretty face and a great set !,1
dayumm stupid fuckin cunts stop talking your shit get a fuckin life go suck your moms dick and chock on it dayumm lil pussys take it of anonamis or watever -stephanie iloveyou alexis :),1
did you now tht uare yougli,1
do you wnt 2 suk my dick .,1
dumb bitch ! fuchk you and your stupid friends ! your all pussys ! none of you can handle on your own ! you always need your friends to get in everything !,1
fuck you lickers ! go celetics,1
fuk you yall betches ! !,1
go 2 hell,1
hahaha i made you cry in 6th today. ! ! (: ohh yes cause my boobs are just soo big. ! ha i wish....andd v im guessin shes a c 34..am i right. . (: ahha,1
hey bitch boobs don't count when the only reason you have them is because your fat ! ! !,1
hey bitch don't get mad at people who write on here cause you ask people to write to you.,1
i hope yhu dnt think yhur prety casue yhur not !,1
i lovee youu alexiss<33r and i hate dominic(:,1
im gnnafuckyou up ! ! ! ! ! ! ur a dum hoe,1
kikk her ass . v haha what the fuck try her bitch i dare yuh ! ! ! ! ily alexis,1
liaare you don't have a bf ! v,1
meanzz to ask her questions and stuff nawt talk shit on anonymus pussy ass bitchez watever tho yew guyz don't mean shitt to her and don't affect her so be a bitch to someone who cares pussy ass fuken ugly bitchez fukk youu ! ! ! ! ! love alwyz marissa <3 ily a,1
member do you have a big penis xd lmaoo,1
my momss a bitch. ! shee fuckin blockedd my texting. ! aha ohh i mightt hang out wiff davidd memberr himm. . <3(:,1
oh is that faggot isayah goin to bee der .,1
pussy,1
remember that gurl you fight last year .,1
sarah stanford takes it up the butthole.,1
the fukk .,1
tootsy is eww,1
ur short :) bt ur a cutey,1
v so you have nutts . i dont think so. hahaha,1
why are you such a bitchh . i hate you i'm gonna kick ur ass whore ! !,1
would you ever cheat on chris .,1
yhu ready to get yhur a$$ beat this saturdayy . ! . ! . ! . ! . ! . ! . ! . ! . ! . ! . ! ! . ! . ! . ! . ! . ! . ! . ! ! . ! . ! . ! . ! . ! . ! . ! . ! ! ! . ! . ! . ! . ! . ! . ! . ! . ! ! . ! ! . ! ! . ! . ! . ! ! . ! . ! . ! . ! . ! . ! . ! . ! . ! . ! . ! . ! . ! . ! .,1
your not fat alexis ! ! she's the fat ass low life bitch ! ! !,1
your to young what love is bitch so do you use it ! ! ! dumb whore put your boobs away ! ! !,1
youare yougly x) !,1
! wn+ you b ! q d ! (k $urf( ! and m l ! psz$,1
! m q ! rl d03 ! $0 ju$+ cum and l ! (k m cum and m pu$$zzy,1
! m b3 pu++ ! and d ! $ pu$$zzy 0n why $ ! d3 burn$ ! and $3c0nd. l$0 ! d0 d b3$+ d33p thr0+ ! and d vv0rld. ! cn $h0v3 13 ! nch3$ d0wn m +hr0+ + 0nc3. ! ! n+ ly ! nq,1
awwhaa *my 0rq$m*,1
aye dhis daddy pelt,1
b ! +(h ! m b3 pump ! n d ! s$z d ! (k ! n y0 3r s0 hrd dam bruh i bust3d a l0d 0f cum ! n ma m0mmasz ha ! r sh3 mo ! sturizin it do3. i p ! cture y0 vagin t0 be3 all h ! ry n $$h ! zz w ! t t ! l ! munch on dat nppy brown h ! ry h ! t ! n puzzie,1
bitch i can rap beta den you ugly ass,1
suk my dik pussy,1
fuck you bithc,1
damn whyy all dhese girlss askinqq about ur dickk. .,1
did alix suk yu up,1
does hoes nasstty,1
duu yuuu shave y0 d ! (k,1
fuck ur mom pussy,1
fuck hard fuck you cunt,1
i heard you suck people dick,1
i luhh dhat pic negro itszs sexy lemm3 suck y0 d ! k .,1
i see you dick and it look tasty,1
i want dat dick,1
i wnna suck ur dick so hard,1
i wunt you cum surfacing dh rimsz of ma lipsz,1
i wunt you di ! ckk .,1
i wunt yo cum on my lipsz.,1
ima bite da tip of yo dick of n splatter it into itty bitty pieces,1
is you gay,1
iz it tru that yu wuz shakin you meat to da hannah montana show,1
iz yyo cum realie gray .,1
kum on den wit dat big dick,1
lmfao shxt dhatss whyy dheyy anonymouss ckuss dhem hoess nastyy and i saiid dnt get hurt ckuss yew bee gettinqq slickk and dnt bee fuckinqq wit mhe,1
lolss brah im tired of these girls writeing me like foreal man control you groupiess,1
lolss slickk mouthh aihh,1
lolss so watss up witchaa yew,1
lolss yew stolee dhat sxht frm mheyew on sum otha shxt dressedd in all blackk lolss wow,1
fuck you downn ! ! !,1
mikey wassup my niggah ! .,1
lets have a group sex,1
you are a sexy bitch,1
you are a dirty bitch,1
your mother is a whore,1
nigah isz you circumsized,1
ommf suck your dick,1
so do yew havee a myspacee,1
u hot pussy,1
uhmm bestie... why dnt you evr get da braces . ya teeth are fucked up .,1
wake up small pussy,1
lets fuck hard,1
wood you smash nd fuck tevon .,1
why not she a gurl rite nd she got a pussy ! ! ! lol hehe,1
ya damn rite she gota have ass and be kute ya feel my dick,1
y when you suckd my dog up you was chokin and shit .,1
y0 lip bitin pic uqlie azz fuck ! ! and ya dick small alix told me ! ! nigga yew juzz ugly ! !,1
y0 sk ! and isz d col0r of mah p00p,1
y3 nigg yuhh luuk gay,1
yew eva cunsidered smashin a whit3 gurl wit nice nipples . . .,1
yo mikeey why did you and zurii break up,1
yo vagina flappy,1
yu a dam lyee mikey yu kno ya mom fuck your dad behh tearn ya asz up.,1
yuh a cocky boy . i lyk dhat,1
yuh fuckin sexy ass lip bitin nigga,1
yuh styll feelinme,1
yuu kno yuu so lame . ndd yuu caint tlkk to that muchh qurls hav yuu seen yurselff hahahahahah noo,1
does the guy you are with at lunch and you talk to does he have a gf =),1
fuck you you son,1
hello mr gay fuck,1
i wanna fuck you.,1
josh ! ! ! ! you are a desparate little guy,1
lol ok now ur just straight up lying. faggot.,1
ok this is tatum krista's friend this is her profile thing and i wanted to go on hers cuz she told me she had . s on herer she didnt answer cuz there stupid and i wanted t oread them so i did but she told me about you and she is not obsesed with you,1
see i told you tht you are a playa. stop playing girls you cunt..,1
she is not obsessed with you like pussy,1
peace you bitch !,1
this is not fucking simple she is really whore dont date her,1
thx 4 not talking to me anymore fuck you bitch,1
who tha fuck is he ; he has a small dick,1
i don't ve always liked you pussy so get outta my bisnatch ! ! !,1
wow ur girl dani has a lot of guys on her top...but i'm sure you have nothing to worry about. (;0,1
ya i know cuz i am letting you know who this is. are my name is tatum not kris you asshole hoe,1
you are mean,1
.. stfu tabi ... you may not be fake .... but your a bitch annd need to go back to idaho .. hoe ... orr just go to w'ford.. your better off ther anyways (: .. you have like 1 maybe 2 friends in brock soo leave,1
...if you want to go back to idaho so bad why dont you . ... texas doesnt want you here anymore than you want to be soo .. just leave ! ! !,1
then she is a fake give me her link.,1
any chance if i have a shot with you . i love girls drugs and sex ! so tell justin boy to fuck off . pryce,1
are you a vergin,1
are you bulimic pussy .,1
are you fake .,1
ballfuck she's real. get over it. ride my dick vv,1
ballfuck she's real. get over it. ride my dick vv,1
besides the chick who's starting shit won't back it up and isn't even saying who she is. she is a fake,1
u c cup or b cup,1
damn go jack off watching a monkey fuck damn,1
dearest babydoll vv stop trying to start shit grow the fuck up. i mean really . is this what you do for a living is ask people if they're fake ruin peoples lives . grow some balls grow up stop starting stuff(:,1
do you honestly think i would leave a comment on your formspring telling you to be nice to me . i don't know who that was. ps i stuck up foare you when that girl was being mean so i'm pretty sure i have been nice,1
do you lick dick .,1
do you want me to rain on their parade . sure hate ignorant texans who believe that being from texas gives them the right to act like low level scum suckers. the need to live in the real world and pull their head out of that dark place they have it shoved. fuck pussy like u,1
eat a dick you complain about texas all day shove it it ! you just got told your suck a dick ! so eat one,1
ever been called a whore .,1
fake doesn't mean you look pretty .,1
fakee .,1
fakee .,1
girls just wanna be you tabi since they're using your pictures. you're obviously hot (; she's real dumb fucks.,1
hah wow if your so sweet and innocent why are you always like stfu and wtf. i don't buy that i'm standing up for myself shit you can stand up without being a bitch. if you don't like what people say don't post unless your just looking for attention. damn.,1
hahaha ohmygod you are an actual jerk,1
haha they are to small minded whore >:d,1
here's an idea how about stop trying o get hook up with tabitha and actually find someone who can suck you 3 inches dick hahaha doubt that will ever happen. no girl likes a pevert and a douche(:,1
hey stupid people ! see everyone here who knows tabi in real life . yeah if you are that retarded to still call her fake then you should not be operating a computer. just saying. fuck out of here. eat your mom pussy,1
hey i love daydrien too :d no homo,1
hey ! ! tabilo ! i just read your bio and i laughed out loud ! ! i love you question:what is your fav.song/movie/book . i did the questions in bulk to save time ! ! ! ! o and guess who it is ! !,0
you hoe,1
how's having like no friend's . you ashole,1
i don't fucking like tabitha ! i don't like girls who lead on pussy like you !,1
i fucking hope you move you bitch ! ! ! !,1
i have been the one who has been calling you a hoe and shit cuz bitch justin has a fucking girl friend so back the fuck off and quit throwing your self at him. you are a whore.,1
i love how you have no life :):):):) <3 hahaahahahaaha. actually you have no life for sayin that. i love my life. i seriously laughed when i read this^^ you dont have a life bcause no one likes you :) dumb bitch get it striaght in your headu2665,1
i love how you toold maddi to delete this monster when you havnt even deleted your monster. yaa bittch.,1
i thiink its pretty funny that your like stfu when you wasted your time writing that . how about you stfu and stop wasting your time replying tabi.,1
if i saw you without clothes i would baite as in master,1
if your gonna call someone fake .. at least speel it right ...stupid geez ... ily tabiaah ! !,1
jack needs to grow a ball,1
leave tabi alone i know for a fact she hasn't done anything to you. pretty sure it's pathetic you are saying this shit anomalously because you don't have the balls to say it to her face. who's fake now . grow a pair and shut the hell up. we don't care. you fake bitch,1
leave texas bitch ! ! no one here wants you ! ! quit hating on texas and brock we were perfectly fine without you bitch ! ... so leave !,1
no no no(: you are dick to people (; jk,1
quit fishing for compliment and saying youare yougly it's so annoying,1
really . because i know many people who dont like you. most of them claim to be your friend. sooo stfu :),1
screw the people who are dicks to you. :d,1
stop calling tabi fake obviously your the fake bitch that don't have a life i don't know tabi but she seems like a nice person.,1
tabi isn't fake in anyways so go suck a fat one. seriously. i will beat your ass. i love you tabi<3 ((:,1
tabitha isnt a fake,0
tabitheare youd be good at this,0
they're called you skinny jeans.,1
this is a place for questions try asking some. but really.,0
to the question below when you said: im not fat . arent you suppose to say i'm not fat period . cause if you put a question mark your saying your fat. dummy fuck.,1
ur facebook is a fake cos i saw 5 other facebook with the same but diff last name and same pics and 1 has proof,1
ur not that pretty... and you think that ur the prettiest girl..wow its stupid..,1
uuhh did you really add a random guy you don't know and now you talk to him all the time . that's a little desprate/ creepy of you fake,1
v you have no life haha,1
wait. are you cheyenne . i sent a request to you . wait why is your name tabitha . r you fake .,1
wait. r you fake .,1
were you honest when you said i could never leave your bed .,1
whateveare your a fake and have nothing good to do with your life.,1
whats wrong chicken little pussy .,1
when they mean fake they mean your attitude is fake and your personality not if shes dead or alive..um just saying ppl.,1
who is a weirdo now. its you who spells time wrong haha. you fool,1
why are you stealing pics from cheyenne . she has videos.,1
why do you always feel the need to tell the whole world how people hit on you all the time. if their creepy its not much of a bragging right just kinda conceited sounding. just saying. grow inteligent you foorl. hv a life,1
would you let jake do you sideways,1
yo dumbsta baby shut up or imma rip out you weave you tranny ! lmao this is jo and i love you.,1
you are terribly rude to everyone i am sick of it. you abuse every good thing that happens to you and destroy it with hate and fake smiles. by the way be careful who you trust. dead or alive. just a heads up from someone who still cares.,1
you didn't get a brain that day either. they were only handing them out to people who would use them.,1
you guys shes not fake ! got it . good. when she still went to my school she was out there with the fact shes a hoe. im glad shes staying in texas they can have her,1
your bio is quite interesting it says bo you whore. are you talking about yourself . i am very confused.,1
your face is such a mess why don't you get your dog something different to chew on .,1
your obsessed about how you look.,1
your so fake go suck a vag !,1
your so hot you give me woddddddddd,1
your so stupid you say your not pretty to people so they can be like oh your so pretty blah-blah-blah ! ! so can you stop . i mean i totally agree with you youare yougly as shit no worse than ugly as shit so go die.,1
your the ugliest person i know,1
zip it dumpster baby . can you get anymore lesbian .,1
are you having a great xmas. how is ur pussy. red . :d:d:d:d,1
you got herpes,1
i bet you are a .............................nemo........................star.............................shit >>..................................cow fagget lol,1
need advice . well then ask that chick. she is a whore,1
are you retarded . :p jking,1
yo mom chest hairs love taylorstack :),1
dont you worry im not blackmailing you lol. i would never tell anyone no matter what lol only i know the answer lol,0
if people with one arm go to get their nails done do they pay half price .,0
if you mated a bull dog and a shit you would it be called a bullshit .,1
fuck you bitch,1
why do they call him donkey kong . he is a asshole though,1
your lying to yourself if you think changing ur appearance and getting tattoos will make people not recognize how ugly you are on the inside. enough said,1
are you a hoe fa sho .,1
cool when can you sneak out . and how long can we fuck,1
do you like sex .,1
how many times have you been fucked .,1
im a guy why cant we just fuck and get it over with girl . :],1
no. stop fucking lying. you used to smoke. we are not sttupiddd ! ! i myself have smoked with yuu before.,1
oh get oveare yourself. i dont look everyday it sends me an email every time you answer.,0
so i know you dont smoke anymore nd stuff but like i have this really good shit and when we used to smoke together it was way fun cuz ur even more fun when ur high. soo please . just a couple bowls .,1
that wasnt me. why would i say i love you .,1
ur gunna get jumped. u stupid bitch.,1
well if you don't want people to be judging or asking then why set it as your backround picture . you fake,1
what was the worst concert you went to .,0
where do you live .,0
where in billings and can you sneak out sometime . lest fuck,1
who asked how many times you have been fucked . . .,1
who did you last go out with for fuck . cameren loomen .,1
why are you such a bitch/whore cunt . are i hate ur guts,1
why cant we just fuck and get it over with girl . :],1
im better than you :),1
pshh you dont know shit about mw2...get on my level then maybe we'll talk. grow brain. hahahaha,1
old enough doesnt answer my question...lol how old are you .,0
do you eat ass keep it a buck,1
don't call yourself shady. that's my nickname bitch;dxp,1
dont talk to rubinathy15 she is stupid,1
fagg,1
go away you mad corny,1
i hate you jade,1
yell at this nigguh and pass the link on. let fuck her toether,1
i don't listen to the radio i just surf thru random channels and i'll hear the song on tv or something.,0
i wubbb you(:,0
im a gay haha. you fag,1
lemme fuck ur pussy babyy<3,1
omg have you seen the pictures of you on. you look horny bitch lol,1
are you gay .,1
really . yu must b new pussy for fuck,1
ur softyass lmaoo,1
whens the last time you jacked off you shit .,1
wuhhddup wit ur wana be gangbangin white boy look hahaha straight up lame ! ! !,1
your top 5 ugliest people ive ever seen,1
austins new gf is ugly as fuxk ! lolz he did a downgrade honey ! ur better :pg,1
austins new girllfriend is not uglly she is way way better than your nasty ass will ever be. ha evven youur so caled bestfriend katellyn aggress that kristens pretty tighht.,1
